Orgunit name,MOH 731   Discordant HV01-28,MOH 731   Linked_Total HV01-35,MOH 731   Negative_Total HV01-27,MOH 731   Positive_Total   (Sum  HV01-18 to  HV01-25) HV01-26,MOH 731  Tested_Couples HV01-15,MOH 731  Tested_New HV01-13,MOH 731  Total       HV01-50,Month,Total_tested,Infection_rate
Kakamega County,31.0,0.0,0.0,0.0,457.0,0.0,213.0,3,0.0,0.0
Kericho County,9.0,98.0,4930.0,0.0,295.0,2885.0,112.0,3,4930.0,0.0
Kiambu County,23.0,313.0,23684.0,435.0,1265.0,9848.0,0.0,3,24119.0,0.01803557361416311
Kilifi County,0.0,199.0,0.0,286.0,577.0,6317.0,0.0,3,286.0,1.0
Kirinyaga County,3.0,73.0,9971.0,122.0,419.0,5259.0,0.0,3,10093.0,0.012087585455266026
Kisii County,0.0,0.0,14371.0,0.0,0.0,6364.0,478.0,3,14371.0,0.0
Kisumu County,38.0,731.0,23712.0,0.0,835.0,5303.0,431.0,3,23712.0,0.0
Kitui County,14.0,140.0,0.0,255.0,293.0,0.0,0.0,3,255.0,1.0
Kwale County,4.0,71.0,0.0,0.0,777.0,0.0,0.0,3,0.0,0.0
Laikipia County,11.0,0.0,0.0,0.0,0.0,0.0,343.0,3,0.0,0.0
Lamu County,2.0,0.0,0.0,22.0,0.0,0.0,85.0,3,22.0,1.0
Machakos County,20.0,0.0,13724.0,319.0,375.0,5631.0,146.0,3,14043.0,0.02271594388663391
Mandera County,0.0,0.0,0.0,3.0,0.0,296.0,11.0,3,3.0,1.0
Marsabit County,1.0,0.0,0.0,9.0,0.0,0.0,0.0,3,9.0,1.0
Meru County,0.0,253.0,8788.0,0.0,391.0,4619.0,413.0,3,8788.0,0.0
Migori County,36.0,454.0,26534.0,789.0,0.0,9416.0,1223.0,3,27323.0,0.028876770486403396
Mombasa County,43.0,0.0,21102.0,494.0,0.0,0.0,0.0,3,21596.0,0.022874606408594185
Muranga County,5.0,111.0,0.0,135.0,511.0,0.0,360.0,3,135.0,1.0
Nairobi County,0.0,0.0,61309.0,0.0,3068.0,26722.0,0.0,3,61309.0,0.0
Nakuru County,50.0,0.0,0.0,0.0,0.0,0.0,2367.0,3,0.0,0.0
Narok County,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0
Nyamira County,0.0,0.0,0.0,209.0,357.0,0.0,0.0,3,209.0,1.0
Nyandarua County,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0
Nyeri County,0.0,119.0,0.0,128.0,611.0,3375.0,159.0,3,128.0,1.0
Samburu County,8.0,0.0,0.0,43.0,59.0,0.0,578.0,3,43.0,1.0
Siaya County,0.0,0.0,26817.0,971.0,0.0,5298.0,625.0,3,27788.0,0.034943140924139915
Taita Taveta County,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0
Tana River County,1.0,0.0,1477.0,0.0,0.0,0.0,42.0,3,1477.0,0.0
Tharaka Nithi County,0.0,0.0,3578.0,0.0,0.0,1485.0,0.0,3,3578.0,0.0
Trans Nzoia County,15.0,0.0,4863.0,0.0,295.0,0.0,0.0,3,4863.0,0.0
Turkana County,12.0,160.0,13806.0,157.0,0.0,5952.0,447.0,3,13963.0,0.01124400200529972
Uasin Gishu County,11.0,0.0,9445.0,360.0,0.0,3100.0,0.0,3,9805.0,0.03671596124426313
Vihiga County,11.0,0.0,5149.0,176.0,209.0,2033.0,0.0,3,5325.0,0.03305164319248826
Wajir County,0.0,0.0,890.0,0.0,12.0,603.0,0.0,3,890.0,0.0
West Pokot County,0.0,103.0,0.0,0.0,0.0,0.0,192.0,3,0.0,0.0
Baringo County,5.0,47.0,0.0,50.0,0.0,0.0,0.0,4,50.0,1.0
